"clone_subgroup_id","size","n_cluster","clusters"
"810_1",160,1,"Transitional"
"1844_1",31,4,"ASC 2; Cell-Cycling; IgD-ve Memory; IgD+ve Memory"
"1222_1",21,4,"DN2; HSP+; IgD+ve Memory; NAIVE 2"
"1386_1",17,3,"ASC 2; ASC 3; IgD+ve Memory"
"898_1",16,3,"ASC 1; ASC 2; NAIVE 1"
"558_1",15,2,"IgD+ve Memory; NAIVE 1"
"1446_1",14,3,"IgD-ve Memory; IgD+ve Memory; NAIVE 2"
"502_1",13,4,"ASC 1; ASC 3; Cell-Cycling; IgD+ve Memory"
"514_1",13,3,"HSP+; IgD-ve Memory; IgD+ve Memory"
"1042_1",11,3,"ASC 2; IgD+ve Memory; NAIVE 2"
"561_1",11,2,"ASC 1; ASC 2"
"1061_1",10,1,"ASC 2"
"581_1",10,4,"ASC 2; IgD+ve Memory; NAIVE 1; Transitional"
"620_1",10,2,"ASC 2; IgD-ve Memory"
"1081_1",9,3,"ASC 1; ASC 2; NAIVE 1"
"118_1",9,1,"ASC 2"
"1557_1",9,3,"ASC 1; ASC 2; NAIVE 1"
"270_1",9,1,"ASC 2"
"501_1",9,3,"ASC 1; ASC 2; NAIVE 1"
"97_1",9,1,"ASC 2"
"1659_1",8,3,"ASC 1; ASC 2; ASC 3"
"404_1",8,3,"ASC 2; IgD-ve Memory; IgD+ve Memory"
"702_1",8,2,"IgD-ve Memory; IgD+ve Memory"
"777_1",8,2,"ASC 2; Cell-Cycling"
"1536_1",7,1,"ASC 2"
"365_1",7,1,"ASC 2"
"481_1",7,2,"DN2; IgD+ve Memory"
"874_1",7,3,"IgD-ve Memory; IgD+ve Memory; NAIVE 1"
"985_1",7,1,"ASC 2"
"1029_1",6,3,"ASC 1; IgD-ve Memory; IgD+ve Memory"
"1422_1",6,1,"IgD+ve Memory"
"1500_1",6,2,"ASC 3; IgD+ve Memory"
"1540_1",6,3,"ASC 2; HSP+; NAIVE 1"
"1707_1",6,1,"ASC 2"
"1759_1",6,1,"IgD+ve Memory"
"210_1",6,2,"ASC 2; Cell-Cycling"
"255_1",6,2,"ASC 1; ASC 2"
"343_1",6,3,"ASC 1; ASC 2; NAIVE 1"
"526_1",6,2,"ASC 1; ASC 2"
"133_1",5,1,"ASC 2"
"1426_1",5,1,"ASC 2"
"1667_1",5,2,"ASC 2; Cell-Cycling"
"1684_1",5,2,"ASC 1; ASC 2"
"177_1",5,2,"ASC 2; IgD+ve Memory"
"1796_1",5,1,"ASC 2"
"17_1",5,2,"ASC 2; IgD+ve Memory"
"1816_1",5,3,"ASC 2; IgD-ve Memory; IgD+ve Memory"
"570_1",5,2,"ASC 2; IgD+ve Memory"
"616_1",5,1,"ASC 2"
"980_1",5,1,"ASC 2"
"1000_1",4,1,"IgD+ve Memory"
"1018_1",4,3,"IgD-ve Memory; IgD+ve Memory; NAIVE 1"
"1118_1",4,1,"ASC 1"
"1252_1",4,3,"IgD-ve Memory; IgD+ve Memory; NAIVE 1"
"1254_1",4,1,"ASC 2"
"1360_1",4,2,"ASC 2; IgD-ve Memory"
"1420_1",4,1,"ASC 2"
"1430_1",4,2,"IgD-ve Memory; IgD+ve Memory"
"1490_1",4,1,"ASC 2"
"1586_1",4,2,"ASC 2; NAIVE 1"
"1592_1",4,1,"ASC 2"
"1646_1",4,1,"ASC 2"
"1735_1",4,1,"ASC 2"
"1790_1",4,2,"ASC 2; IgD+ve Memory"
"1800_1",4,3,"IgD-ve Memory; IgD+ve Memory; NAIVE 1"
"1858_1",4,1,"IgD+ve Memory"
"315_1",4,4,"ASC 2; Early-Activation; HSP+; IgD-ve Memory"
"317_1",4,2,"ASC 2; NAIVE 2"
"32_1",4,2,"IgD-ve Memory; IgD+ve Memory"
"471_1",4,2,"ASC 1; ASC 2"
"607_1",4,2,"ASC 2; NAIVE 1"
"648_1",4,1,"ASC 2"
"714_1",4,1,"ASC 2"
"735_1",4,1,"IgD+ve Memory"
"852_1",4,1,"ASC 2"
"879_1",4,1,"ASC 2"
"951_1",4,2,"ASC 1; ASC 2"
"1082_1",3,2,"ASC 1; ASC 2"
"1095_1",3,2,"ASC 1; ASC 2"
"1113_1",3,1,"ASC 2"
"111_1",3,1,"ASC 2"
"1165_1",3,1,"ASC 2"
"1252_2",3,3,"ASC 2; IgD+ve Memory; NAIVE 1"
"1286_1",3,1,"ASC 2"
"1319_1",3,2,"ASC 2; ASC 3"
"1327_1",3,1,"ASC 2"
"1346_1",3,2,"ASC 2; ASC 3"
"1354_1",3,2,"ASC 1; ASC 3"
"1405_1",3,1,"ASC 2"
"1473_1",3,1,"ASC 2"
"1494_1",3,1,"ASC 2"
"1496_1",3,1,"ASC 2"
"1498_1",3,1,"ASC 2"
"1518_1",3,3,"ASC 1; DN2; NAIVE 1"
"1555_1",3,1,"ASC 3"
"1603_1",3,1,"ASC 2"
"1622_1",3,2,"IgD-ve Memory; IgD+ve Memory"
"1657_1",3,2,"ASC 2; IgD+ve Memory"
"1708_1",3,1,"ASC 2"
"1732_1",3,1,"ASC 2"
"1739_1",3,1,"ASC 2"
"1756_1",3,3,"ASC 2; IgD-ve Memory; IgD+ve Memory"
"1773_1",3,1,"ASC 2"
"1779_1",3,1,"Cell-Cycling"
"1786_1",3,1,"ASC 2"
"1803_1",3,1,"ASC 2"
"1806_1",3,1,"ASC 2"
"1863_1",3,1,"ASC 2"
"1892_1",3,1,"ASC 2"
"207_1",3,1,"ASC 2"
"258_1",3,2,"ASC 2; ASC 3"
"275_1",3,1,"ASC 2"
"318_1",3,1,"ASC 2"
"323_1",3,3,"Cell-Cycling; Early-Activation; NAIVE 1"
"370_1",3,3,"HSP+; IgD-ve Memory; IgD+ve Memory"
"394_1",3,1,"ASC 2"
"438_1",3,2,"ASC 2; IgD-ve Memory"
"487_1",3,1,"ASC 2"
"516_1",3,1,"IgD+ve Memory"
"51_1",3,2,"ASC 1; ASC 2"
"520_1",3,2,"ASC 2; NAIVE 1"
"53_1",3,1,"ASC 2"
"555_1",3,1,"ASC 2"
"643_1",3,2,"IgD-ve Memory; IgD+ve Memory"
"653_1",3,1,"IgD+ve Memory"
"690_1",3,1,"ASC 2"
"729_1",3,1,"IgD-ve Memory"
"736_1",3,1,"IgD+ve Memory"
"751_1",3,1,"IgD+ve Memory"
"75_1",3,2,"ASC 2; NAIVE 1"
"791_1",3,1,"ASC 3"
"815_1",3,1,"ASC 2"
"820_1",3,1,"ASC 2"
"861_1",3,1,"ASC 2"
"884_1",3,1,"ASC 2"
"894_1",3,2,"ASC 2; Cell-Cycling"
"943_1",3,1,"ASC 2"
"96_1",3,1,"IgD+ve Memory"
"989_1",3,1,"ASC 2"
"1014_1",2,1,"IgD+ve Memory"
"102_1",2,2,"ASC 2; NAIVE 1"
"105_1",2,1,"ASC 2"
"1068_1",2,1,"ASC 2"
"109_1",2,2,"ASC 1; Cell-Cycling"
"1129_1",2,1,"IgD+ve Memory"
"1161_1",2,2,"ASC 2; NAIVE 1"
"1163_1",2,1,"IgD-ve Memory"
"116_1",2,2,"ASC 1; IgD+ve Memory"
"1170_1",2,1,"ASC 2"
"1175_1",2,1,"ASC 2"
"117_1",2,1,"IgD+ve Memory"
"1190_1",2,1,"ASC 2"
"1205_1",2,2,"ASC 2; IgD+ve Memory"
"1213_1",2,1,"ASC 2"
"1229_1",2,1,"ASC 3"
"1238_1",2,1,"ASC 2"
"1240_1",2,1,"ASC 2"
"1244_1",2,2,"ASC 2; Cell-Cycling"
"1246_1",2,1,"ASC 2"
"1247_1",2,1,"ASC 2"
"1262_1",2,2,"IgD-ve Memory; NAIVE 1"
"1271_1",2,2,"IgD-ve Memory; IgD+ve Memory"
"1282_1",2,1,"ASC 2"
"1283_1",2,1,"ASC 2"
"1284_1",2,1,"ASC 2"
"1287_1",2,1,"IgD+ve Memory"
"1291_1",2,2,"HSP+; IgD-ve Memory"
"1292_1",2,1,"ASC 2"
"1295_1",2,1,"ASC 1"
"1297_1",2,1,"ASC 2"
